Block,Cage,Hour,Minute,Time,Animal,z,x,y,Perch,Beh,Disturbed,Observer,Notes
3,C,8,30,8.5,MEFE,80,9,8,GR,Sit,,Rob,
3,D,8,30,8.5,MEFE,82,21,2,Cage,Sit,,Rob,
3,E,8,30,8.5,MEFE,85,14,6,GR,Sit,,Rob,
3,A,9,0,9,MEFE,83,21,7,Cage,Sit,,Rob,
3,B,9,0,9,MEFE,70,10,7,GR,Sit,,Rob,
3,C,9,0,9,MEFE,80,9,8,GR,Sit,,Rob,
3,D,9,0,9,MEFE,84,31,1,Cage,Sit,,Rob,
3,E,9,0,9,MEFE,84,12,12,Cage,Sit,,Rob,
3,A,9,30,9.5,MEFE,83,20,10,Cage,Sit,,Rob,
3,B,9,30,9.5,MEFE,70,10,7,GR,Sit,,Rob,
3,C,9,30,9.5,MEFE,82,4,8,Cage,Sit,,Rob,
3,D,9,30,9.5,MEFE,80,11,1,Cage,Walk,,Rob,
3,E,9,30,9.5,MEFE,87,35,10,Cage,Sit,,Rob,
3,A,10,0,10,MEFE,40,23,20,Cage,DEAD,,Rob,
3,B,10,0,10,MEFE,70,10,7,Cage,Sit,,Rob,
3,C,10,0,10,MEFE,77,32,6,Cage,Walk,,Rob,
3,D,10,0,10,MEFE,84,24,6,Cage,Sit,,Rob,
3,E,10,0,10,MEFE,85,30,11,Cage,Sit,,Rob,
3,A,10,30,10.5,MEFE,,,,,DEAD,,Rob,
3,B,10,30,10.5,MEFE,70,10,7,GR,Sit,,Rob,
3,C,10,30,10.5,MEFE,,,,,,,Rob,
3,D,10,30,10.5,MEFE,85,16,14,Cage,Sit,,Rob,
3,E,10,30,10.5,MEFE,83,17,19,GR,Sit,,Rob,
3,A,11,0,11,MEFE,,,,,DEAD,,Rob,
3,B,11,0,11,MEFE,70,10,7,GR,Sit,,Rob,
3,C,11,0,11,MEFE,0,18,0,GR,Walk,1,Rob,
3,D,11,0,11,MEFE,84,31,14,Cage,Sit,,Rob,
3,E,11,0,11,MEFE,85,10,17,Cage,Walk,,Rob,
3,A,11,30,11.5,MEFE,,,,,DEAD,,Rob,
3,B,11,30,11.5,MEFE,70,10,7,GR,Sit,,Rob,
3,C,11,30,11.5,MEFE,4,15,0,Fabric,Sit,,Rob,
3,D,11,30,11.5,MEFE,82,21,3,Cage,Sit,,Rob,
3,E,11,30,11.5,MEFE,83,0,4,Cage,Walk,,Rob,
3,A,12,0,12,MEFE,,,,,,,Rob,
3,B,12,0,12,MEFE,70,10,7,GR,Sit,,Rob,
3,C,12,0,12,MEFE,,,,,,,Rob,
3,D,12,0,12,MEFE,83,31,10,Cage,Sit,,Rob,
3,E,12,0,12,MEFE,17,9,18,Mesh,Sit,,Rob,
3,A,12,30,12.5,MEFE,,,,,DEAD,,Rob,
3,B,12,30,12.5,MEFE,70,10,7,GR,DEAD,,Rob,
3,C,12,30,12.5,MEFE,0,10,2,Ground,Sit,,Rob,
3,D,12,30,12.5,MEFE,26,19,7,GR,Sit,,Rob,
3,E,12,30,12.5,MEFE,82,2,2,Cage,Walk,,Rob,
3,A,13,0,13,MEFE,,,,,DEAD,,Rob,
3,B,13,0,13,MEFE,,,,,DEAD,,Rob,
3,C,13,0,13,MEFE,,,,,,,Rob,
3,D,13,0,13,MEFE,83,35,4,Cage,Sit,,Rob,
3,E,13,0,13,MEFE,86,36,11,Cage,Sit,,Rob,
3,A,13,30,13.5,MEFE,,,,,DEAD,,Rob,
3,B,13,30,13.5,MEFE,,,,,DEAD,,Rob,
3,C,13,30,13.5,MEFE,36,26,1,Cage,Sit,,Rob,
3,D,13,30,13.5,MEFE,82,33,10,Cage,Walk,,Rob,
3,E,13,30,13.5,MEFE,83,18,12,Cage,Walk,,Rob,
3,A,14,0,14,MEFE,,,,,DEAD,,Rob,
3,B,14,0,14,MEFE,,,,,DEAD,,Rob,
3,C,14,0,14,MEFE,77,30,16,Cage,Walk,,Rob,
3,D,14,0,14,MEFE,83,34,88,Cage,Walk,,Rob,
3,E,14,0,14,MEFE,86,34,12,Cage,Walk,,Rob,
3,A,14,30,14.5,MEFE,,,,,DEAD,,Rob,
3,B,14,30,14.5,MEFE,,,,,DEAD,,Rob,
3,C,14,30,14.5,MEFE,79,14,10,Mesh,Sit,,Rob,
3,D,14,30,14.5,MEFE,84,40,8,Cage,Sit,,Rob,
3,E,14,30,14.5,MEFE,83,7,5,Cage,Walk,,Rob,
3,A,15,0,15,MEFE,,,,,DEAD,,Rob,
3,B,15,0,15,MEFE,,,,,DEAD,,Rob,
3,C,15,0,15,MEFE,,,,,,,Rob,
3,D,15,0,15,MEFE,82,33,9,Cage,Walk,,Rob,
3,E,15,0,15,MEFE,73,28,17,GR,Sit,,Rob,
3,A,15,30,15.5,MEFE,,,,,DEAD,,Rob,
3,B,15,30,15.5,MEFE,,,,,DEAD,,Rob,
3,C,15,30,15.5,MEFE,32,32,3,Cage,Sit,,Rob,
3,D,15,30,15.5,MEFE,67,15,15,Cage,Sit,1,Rob,
3,E,15,30,15.5,MEFE,83,5,3,Cage,Sit,,Rob,
3,A,16,0,16,MEFE,,,,,DEAD,,Rob,
3,B,16,0,16,MEFE,,,,,DEAD,,Rob,
3,C,16,0,16,MEFE,10,30,5,Grass,Sit,,Rob,
3,D,16,0,16,MEFE,69,14,16,Cage,Sit,,Rob,
3,E,16,0,16,MEFE,71,34,1,Cage,Walk,1,Rob,
3,A,16,30,16.5,MEFE,,,,,DEAD,,Rob,
3,B,16,30,16.5,MEFE,,,,,DEAD,,Rob,
3,C,16,30,16.5,MEFE,,,,,,,Rob,
3,D,16,30,16.5,MEFE,35,23,6,GR,Sit,,Rob,
3,E,16,30,16.5,MEFE,85,31,10,Cage,Sit,,Rob,
3,A,17,0,17,MEFE,,,,,DEAD,,Rob,
3,B,17,0,17,MEFE,,,,,DEAD,,Rob,
3,C,17,0,17,MEFE,35,26,17,Cage,Sit,,Rob,
3,D,17,0,17,MEFE,30,26,7,GR,Sit,,Rob,
3,E,17,0,17,MEFE,77,30,17,GR,Sit,,Rob,
3,A,17,30,17.5,MEFE,,,,,DEAD,,Rob,
3,B,17,30,17.5,MEFE,,,,,DEAD,,Rob,
3,C,17,30,17.5,MEFE,35,26,17,Cage,Sit,,Rob,
3,D,17,30,17.5,MEFE,33,22,8,GR,Sit,,Rob,
3,E,17,30,17.5,MEFE,76,29,13,GR,Sit,,Rob,
3,A,18,0,18,MEFE,,,,,DEAD,,Rob,
3,B,18,0,18,MEFE,,,,,DEAD,,Rob,
3,C,18,0,18,MEFE,32,26,14,Cage,Sit,,Rob,
3,D,18,0,18,MEFE,29,23,8,GR,Walk,,Rob,
3,E,18,0,18,MEFE,76,26,12,GR,Sit,,Rob,
3,A,18,30,18.5,MEFE,,,,,DEAD,,Rob,
3,B,18,30,18.5,MEFE,,,,,DEAD,,Rob,
3,C,18,30,18.5,MEFE,32,26,14,Cage,Sit,,Rob,
3,D,18,30,18.5,MEFE,42,22,10,GR,Sit,,Rob,
3,E,18,30,18.5,MEFE,76,26,12,GR,Sit,,Rob,
3,A,19,0,19,MEFE,,,,,DEAD,,Rob,
3,B,19,0,19,MEFE,,,,,DEAD,,Rob,
3,C,19,0,19,MEFE,32,26,14,Cage,Sit,,Rob,
3,D,19,0,19,MEFE,41,23,11,GR,Sit,,Rob,
3,E,19,0,19,MEFE,75,28,12,GR,Eat,,Rob,
3,A,7,0,7,PIMI,,,,,,,Rob,
3,B,7,0,7,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,7,0,7,PIMI,,,,,,,Rob,
3,D,7,0,7,PIMI,,,,,,,Rob,
3,E,7,0,7,PIMI,,,,,,,Rob,
3,A,7,30,7.5,PIMI,,,,,,,Rob,
3,B,7,30,7.5,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,7,30,7.5,PIMI,,,,,,,Rob,
3,D,7,30,7.5,PIMI,,,,,,,Rob,
