Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,B,19,0,19,81,31,6,Cage,Sit,NA,Rob,NA,MEFE
3,C,19,0,19,80,15,10,GR,Eat,NA,Rob,NA,MEFE
3,D,19,0,19,39,19,8,GR,Sit,NA,Rob,NA,MEFE
3,E,19,0,19,84,24,13,Cage,Walk,NA,Rob,NA,MEFE
3,A,7,0,7,83,23,11,Cage,Sit,NA,Rob,NA,MEFE
3,B,7,0,7,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,C,7,0,7,78,13,8,GR,Sit,NA,Rob,NA,MEFE
3,D,7,0,7,82,25,4,Cage,Sit,NA,Rob,NA,MEFE
3,E,7,0,7,80,23,5,Cage,Walk,NA,Rob,NA,MEFE
3,A,7,30,7.5,78,22,20,Cage,Sit,NA,Rob,NA,MEFE
3,B,7,30,7.5,72,9,12,GR,Sit,NA,Rob,NA,MEFE
3,C,7,30,7.5,80,16,8,GR,Sit,NA,Rob,NA,MEFE
3,D,7,30,7.5,80,31,6,Cage,Sit,NA,Rob,NA,MEFE
3,E,7,30,7.5,86,31,12,Cage,Walk,NA,Rob,NA,MEFE
3,A,8,0,8,84,22,9,Cage,Sit,NA,Rob,NA,MEFE
3,B,8,0,8,70,10,10,GR,Sit,NA,Rob,NA,MEFE
3,C,8,0,8,80,9,8,GR,Sit,NA,Rob,NA,MEFE
3,D,8,0,8,83,29,0,Cage,Walk,NA,Rob,NA,MEFE
3,E,8,0,8,84,24,11,Cage,Walk,NA,Rob,NA,MEFE
3,A,8,30,8.5,83,28,17,Cage,Sit,NA,Rob,NA,MEFE
3,B,8,30,8.5,69,10,6,GR,Sit,NA,Rob,NA,MEFE
3,C,8,30,8.5,80,9,8,GR,Sit,NA,Rob,NA,MEFE
3,D,8,30,8.5,82,21,2,Cage,Sit,NA,Rob,NA,MEFE
3,E,8,30,8.5,85,14,6,GR,Sit,NA,Rob,NA,MEFE
3,A,9,0,9,83,21,7,Cage,Sit,NA,Rob,NA,MEFE
3,B,9,0,9,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,9,0,9,80,9,8,GR,Sit,NA,Rob,NA,MEFE
3,D,9,0,9,84,31,1,Cage,Sit,NA,Rob,NA,MEFE
3,E,9,0,9,84,12,12,Cage,Sit,NA,Rob,NA,MEFE
3,A,9,30,9.5,83,20,10,Cage,Sit,NA,Rob,NA,MEFE
3,B,9,30,9.5,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,9,30,9.5,82,4,8,Cage,Sit,NA,Rob,NA,MEFE
3,D,9,30,9.5,80,11,1,Cage,Walk,NA,Rob,NA,MEFE
3,E,9,30,9.5,87,35,10,Cage,Sit,NA,Rob,NA,MEFE
3,A,10,0,10,40,23,20,Cage,DEAD,NA,Rob,NA,MEFE
3,B,10,0,10,70,10,7,Cage,Sit,NA,Rob,NA,MEFE
3,C,10,0,10,77,32,6,Cage,Walk,NA,Rob,NA,MEFE
3,D,10,0,10,84,24,6,Cage,Sit,NA,Rob,NA,MEFE
